
   OTHER: privatitzat	PAR: triparti/t__adj	FORMS: AQ0FP0 privatitzades AQ0FS0 privatitzada AQ0MP0 privatitzats AQ0MS0 privatitzat

APERTIUM: quaranta-vuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 quaranta-huitenes AQ0FP0 quaranta-vuitenes AQ0FS0 quaranta-huitena AQ0FS0 quaranta-vuitena AQ0MP0 quaranta-huitens AQ0MP0 quaranta-vuitens AQ0MS0 quaranta-huitè AQ0MS0 quaranta-huité AQ0MS0 quaranta-vuitè
   OTHER: quaranta-vuitè	PAR: ali/è__adj	FORMS: AQ0FP0 quaranta-vuitenes AQ0FS0 quaranta-vuitena AQ0MP0 quaranta-vuitens AQ0MS0 quaranta-vuitè AQ0MS0 quaranta-vuité
   OTHER: quaranta-vuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 quaranta-vuitenes AQ0FS0 quaranta-vuitena AQ0MP0 quaranta-vuitens AQ0MS0 quaranta-vuitè AQ0MS0 quaranta-vuité

APERTIUM: seixanta-vuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 seixanta-huitenes AQ0FP0 seixanta-vuitenes AQ0FS0 seixanta-huitena AQ0FS0 seixanta-vuitena AQ0MP0 seixanta-huitens AQ0MP0 seixanta-vuitens AQ0MS0 seixanta-huitè AQ0MS0 seixanta-huité AQ0MS0 seixanta-vuitè
   OTHER: seixanta-vuitè	PAR: ali/è__adj	FORMS: AQ0FP0 seixanta-vuitenes AQ0FS0 seixanta-vuitena AQ0MP0 seixanta-vuitens AQ0MS0 seixanta-vuitè AQ0MS0 seixanta-vuité
   OTHER: seixanta-vuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 seixanta-vuitenes AQ0FS0 seixanta-vuitena AQ0MP0 seixanta-vuitens AQ0MS0 seixanta-vuitè AQ0MS0 seixanta-vuité

APERTIUM: setanta-vuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 setanta-huitenes AQ0FP0 setanta-vuitenes AQ0FS0 setanta-huitena AQ0FS0 setanta-vuitena AQ0MP0 setanta-huitens AQ0MP0 setanta-vuitens AQ0MS0 setanta-huitè AQ0MS0 setanta-huité AQ0MS0 setanta-vuitè
   OTHER: setanta-vuitè	PAR: ali/è__adj	FORMS: AQ0FP0 setanta-vuitenes AQ0FS0 setanta-vuitena AQ0MP0 setanta-vuitens AQ0MS0 setanta-vuitè AQ0MS0 setanta-vuité
   OTHER: setanta-vuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 setanta-vuitenes AQ0FS0 setanta-vuitena AQ0MP0 setanta-vuitens AQ0MS0 setanta-vuitè AQ0MS0 setanta-vuité

APERTIUM: taronja	PAR: taron/ja__adj	FORMS: AQ0CP0 taronges AQ0CS0 taronja
   OTHER: taronja	PAR: multimèdia__adj	FORMS: AQ0CN0 taronja

APERTIUM: trenta-vuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 trenta-huitenes AQ0FP0 trenta-vuitenes AQ0FS0 trenta-huitena AQ0FS0 trenta-vuitena AQ0MP0 trenta-huitens AQ0MP0 trenta-vuitens AQ0MS0 trenta-huitè AQ0MS0 trenta-huité AQ0MS0 trenta-vuitè
   OTHER: trenta-vuitè	PAR: ali/è__adj	FORMS: AQ0FP0 trenta-vuitenes AQ0FS0 trenta-vuitena AQ0MP0 trenta-vuitens AQ0MS0 trenta-vuitè AQ0MS0 trenta-vuité
   OTHER: trenta-vuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 trenta-vuitenes AQ0FS0 trenta-vuitena AQ0MP0 trenta-vuitens AQ0MS0 trenta-vuitè AQ0MS0 trenta-vuité

