
APERTIUM: alzhéimer	PAR: atletismo__n	FORMS: NCMS000 alzhéimer
   OTHER: alzhéimer	PAR: abril__n	FORMS: NCMP000 alzhéimeres NCMS000 alzhéimer

APERTIUM: amado	PAR: señor__n	FORMS: NCFP000 amadoas NCFS000 amadoa NCMP000 amadoes NCMS000 amado
   OTHER: amado	PAR: abogad/o__n	FORMS: NCFP000 amadas NCFS000 amada NCMP000 amados NCMS000 amado

APERTIUM: amateur	PAR: accionista__n	FORMS: NCCP000 amateurs NCCS000 amateur
   OTHER: amateur	PAR: guardaespaldas__n	FORMS: NCCN000 amateur

APERTIUM: amigacho	PAR: abogad/o__n	FORMS: NCFP000 amigachas NCFS000 amigacha NCMP000 amigachos NCMS000 amigacho
   OTHER: amigacho	PAR: abismo__n	FORMS: NCMP000 amigachos NCMS000 amigacho

APERTIUM: amo	PAR: abogad/o__n	FORMS: NCFP000 amas NCFS000 ama NCMP000 amos NCMS000 amo
   OTHER: amo	PAR: abismo__n	FORMS: NCMP000 amos NCMS000 amo

APERTIUM: anacoreta	PAR: abismo__n	FORMS: NCMP000 anacoretas NCMS000 anacoreta
   OTHER: anacoreta	PAR: abeja__n	FORMS: NCFP000 anacoretas NCFS000 anacoreta

APERTIUM: analizador	PAR: abril__n	FORMS: NCMP000 analizadores NCMS000 analizador
   OTHER: analizador	PAR: señor__n	FORMS: NCFP000 analizadoras NCFS000 analizadora NCMP000 analizadores NCMS000 analizador

APERTIUM: ananás	PAR: comp/ás__n	FORMS: NCMP000 ananases NCMS000 ananás
   OTHER: ananás	PAR: campus__n	FORMS: NCMN000 ananás

APERTIUM: andas	PAR: afueras__n	FORMS: NCFP000 andas
   OTHER: andas	PAR: dosis__n	FORMS: NCFN000 andas

APERTIUM: antifricción	PAR: aluvi/ón__n	FORMS: NCMP000 antifricciones NCMS000 antifricción
   OTHER: antifricción	PAR: acci/ón__n	FORMS: NCFP000 antifricciones NCFS000 antifricción

APERTIUM: antiguo	PAR: abogad/o__n	FORMS: NCFP000 antiguas NCFS000 antigua NCMP000 antiguos NCMS000 antiguo
   OTHER: antiguo	PAR: abismo__n	FORMS: NCMP000 antiguos NCMS000 antiguo

APERTIUM: antiterrorismo	PAR: atletismo__n	FORMS: NCMS000 antiterrorismo
   OTHER: antiterrorismo	PAR: abismo__n	FORMS: NCMP000 antiterrorismos NCMS000 antiterrorismo

APERTIUM: anónimo	PAR: abogad/o__n	FORMS: NCFP000 anónimas NCFS000 anónima NCMP000 anónimos NCMS000 anónimo
   OTHER: anónimo	PAR: abismo__n	FORMS: NCMP000 anónimos NCMS000 anónimo

APERTIUM: apache	PAR: abismo__n	FORMS: NCMP000 apaches NCMS000 apache
   OTHER: apache	PAR: accionista__n	FORMS: NCCP000 apaches NCCS000 apache

APERTIUM: aparataje	PAR: atletismo__n	FORMS: NCMS000 aparataje
